User_Id,Date,Game,Played at,Left at
darkdesire69696969,14-03-2023,Slither,01:45:38,01:45:44
darkdesire69696969,14-03-2023,Slither,01:46:02,01:46:04
darkdesire69696969,14-03-2023,Guess the number,01:45:46,01:45:50
darkdesire69696969,14-03-2023,Guess the number,01:45:51,01:45:55
darkdesire69696969,14-03-2023,FlyBy,01:45:57,01:46:00
darkdesire69696969,14-03-2023,LNS,03:12:59,03:13:08
darkdesire69696969,14-03-2023,Shafty,03:12:37,03:12:52
darkdesire69696969,14-03-2023,IKeyFlex,10:48:05,10:52:02
